Category,Subcategory,URI
europe,russia,tls://37.192.232.33:442
europe,russia,tcp://itcom.multed.com:7991
europe,russia,tcp://kem.txlyre.website:1337
europe,russia,tcp://ekb.itrus.su:7991
europe,russia,tls://ekb.itrus.su:7992
europe,russia,quic://ekb.itrus.su:7993
europe,russia,ws://ekb.itrus.su:7994
europe,russia,tcp://ip4.01.ekb.ru.dioni.su:9002
europe,russia,tls://ip4.01.ekb.ru.dioni.su:9003
europe,russia,quic://ip4.01.ekb.ru.dioni.su:9002
europe,russia,ws://ip4.01.ekb.ru.dioni.su:9004
europe,russia,tcp://ip6.01.ekb.ru.dioni.su:9002
europe,russia,tls://ip6.01.ekb.ru.dioni.su:9003
europe,russia,quic://ip6.01.ekb.ru.dioni.su:9002
europe,russia,ws://ip6.01.ekb.ru.dioni.su:9004
europe,russia,tls://vix.duckdns.org:36014
europe,russia,quic://vix.duckdns.org:36014
europe,russia,tcp://ip4.01.tom.ru.dioni.su:9002
europe,russia,tls://ip4.01.tom.ru.dioni.su:9003
europe,russia,quic://ip4.01.tom.ru.dioni.su:9002
europe,russia,ws://ip4.01.tom.ru.dioni.su:9004
europe,russia,tls://kursk.cleverfox.org:15015
europe,russia,quic://kursk.cleverfox.org:15015
europe,russia,ws://kursk.cleverfox.org:15016
europe,russia,tcp://yg-vvo.magicum.net:29330
europe,russia,tls://yg-vvo.magicum.net:29331
europe,austria,tls://109.176.250.101:65534
europe,austria,tls://[2a02:1b8:10:147::1:1ea]:65534
europe,austria,tcp://ygg7.mk16.de:1337?key=000000086278b5f3ba1eb63acb5b7f6e406f04ce83990dee9c07f49011e375ae
europe,austria,tls://ygg7.mk16.de:1338?key=000000086278b5f3ba1eb63acb5b7f6e406f04ce83990dee9c07f49011e375ae
europe,austria,quic://ygg7.mk16.de:1339?key=000000086278b5f3ba1eb63acb5b7f6e406f04ce83990dee9c07f49011e375ae
europe,austria,ws://ygg7.mk16.de:1340?key=000000086278b5f3ba1eb63acb5b7f6e406f04ce83990dee9c07f49011e375ae
europe,germany,tls://ygg.mkg20001.io:443
europe,germany,tcp://ygg.mkg20001.io:80
europe,germany,tcp://ygg1.mk16.de:1337?key=0000000087ee9949eeab56bd430ee8f324cad55abf3993ed9b9be63ce693e18a
europe,germany,tls://ygg1.mk16.de:1338?key=0000000087ee9949eeab56bd430ee8f324cad55abf3993ed9b9be63ce693e18a
europe,germany,quic://ygg1.mk16.de:1339?key=0000000087ee9949eeab56bd430ee8f324cad55abf3993ed9b9be63ce693e18a
europe,germany,ws://ygg1.mk16.de:1340?key=0000000087ee9949eeab56bd430ee8f324cad55abf3993ed9b9be63ce693e18a
